[2022-08-29 20:26:03 EDT] iverilog '-Wall' '-g2012' 'latch.v' design.sv testbench.sv  && unbuffer vvp a.out  
VCD info: dumpfile dump.vcd opened for output.
          0: clk = 1, start = 1, ready = 0, data = 000000000000000000000000, convst = 1, sck = 0, sdi = 0, sdo = 1
          1: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 1, sck = 0, sdi = 0, sdo = 1
          2: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          3: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          4: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          5: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          6: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          7: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          8: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
          9: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         10: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         11: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         12: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         13: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         14: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         15: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         16: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         17: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         18: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         19: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         20: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         21: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         22: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         23: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         24: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         25: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         26: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         27: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
         28: clk = 1, start = 0, ready = 0, data = 000000000000000000000000, convst = 0, sck = 0, sdi = 0, sdo = 1
